Timestamp,tyre_wear_rear_left,tyre_wear_rear_right,tyre_wear_front_left,tyre_wear_front_right,fuel_in_tank,actual_tyre_compound,visual_tyre_compound,tyres_age_laps,ers_store_energy,tyre_surface_temp_rear_left,tyre_surface_temp_rear_right,tyre_surface_temp_front_left,tyre_surface_temp_front_right,tyre_inner_temp_rear_left,tyre_inner_temp_rear_right,tyre_inner_temp_front_left,tyre_inner_temp_front_right,tyre_pressure_rear_left,tyre_pressure_rear_right,tyre_pressure_front_left,tyre_pressure_front_right,lap_distance,last_lap_ms,sector_1_ms,sector_2_ms,delta_in_front_ms,delta_leader_ms,car_position,current_lap,num_pit_stops,pit_timer_active,pit_timer_ms,track_temp,air_temp,total_laps,pit_rejoin_position,starting_position,finishing_position,fastest_lap,dnf,penalties_time
0,0,0,0,0,25.88,19,17,0,4000000,60,60,62,62,99,99,100,100,20.132,20.132,22.372,22.372,147.9,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
0.24181163,0,0,0,0,25.879,19,17,0,4000000,59,59,62,62,99,99,100,100,20.12,20.12,22.362,22.362,147.9,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
0.7410252,0.016,0.017,0,0,25.877,19,17,0,4000000,68,68,61,61,98,98,99,99,20.102,20.102,22.345,22.345,148.491,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
1.243975,0.02,0.02,0,0,25.874,19,17,0,4000000,67,68,61,61,98,98,99,99,20.085,20.086,22.328,22.328,150.711,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
1.74458,0.026,0.027,0,0,25.871,19,17,0,4000000,69,69,61,61,98,98,99,99,20.069,20.07,22.311,22.311,155.067,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
2.2393374,0.031,0.031,0,0,25.866,19,17,0,4000000,69,69,62,62,97,97,99,99,20.054,20.054,22.294,22.294,161.48,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
2.7407966,0.045,0.045,0,0,25.86,19,17,0,4000000,74,73,63,62,97,97,98,98,20.04,20.04,22.278,22.278,170.258,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
3.2439706,0.063,0.064,0,0,25.852,19,17,0,4000000,77,77,63,63,97,97,98,98,20.028,20.028,22.262,22.262,181.407,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
3.747112,0.082,0.082,0,0,25.843,19,17,0,4000000,78,78,64,64,97,97,98,98,20.017,20.017,22.247,22.247,195.208,0,0,0,0,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
4.246763,0.11,0.111,0,0,25.832,19,17,0,4000000,80,81,65,65,97,97,98,98,20.007,20.007,22.232,22.232,211.662,0,0,0,650,0,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
4.7416344,0.135,0.136,0,0,25.821,19,17,0,3998785,77,78,66,66,96,96,97,97,19.997,19.998,22.217,22.217,230.973,0,0,0,650,4367,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
5.2437105,0.149,0.151,0,0,25.808,19,17,0,3995013,73,73,66,66,96,96,97,97,19.985,19.986,22.203,22.203,253.003,0,0,0,650,4367,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
5.7479167,0.162,0.165,0,0,25.795,19,17,0,3995134.2,71,71,67,67,96,96,97,97,19.972,19.973,22.189,22.189,277.77,0,0,0,183,2900,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
6.234753,0.172,0.174,0,0,25.782,19,17,0,3989251,70,70,67,67,96,96,97,97,19.958,19.959,22.176,22.176,303.875,0,0,0,183,2900,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
6.7418537,0.182,0.185,0,0,25.768,19,17,0,3981890,70,70,67,67,95,95,96,96,19.944,19.944,22.162,22.162,334.088,0,0,0,116,2084,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
7.2448683,0.191,0.193,0,0,25.755,19,17,0,3979286.5,70,70,68,68,95,95,96,96,19.93,19.93,22.149,22.149,365.228,0,0,0,116,2084,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
7.7464814,0.199,0.201,0,0,25.741,19,17,0,3970682.8,69,69,68,68,95,95,96,96,19.916,19.916,22.136,22.136,398.061,0,0,0,84,1783,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
8.246424,0.207,0.209,0,0,25.727,19,17,0,3962042.8,69,69,68,68,95,95,96,96,19.902,19.902,22.123,22.123,432.479,0,0,0,83,1783,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
8.746648,0.214,0.216,0,0,25.715,19,17,0,3958726.2,69,69,68,68,94,94,95,95,19.888,19.888,22.111,22.111,468.118,0,0,0,83,1783,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
9.246279,0.221,0.223,0,0,25.701,19,17,0,3950086.2,69,69,68,68,94,94,95,95,19.874,19.874,22.098,22.098,504.953,0,0,0,100,1616,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
9.744435,0.226,0.228,0,0,25.689,19,17,0,3946243.2,69,69,68,68,94,94,95,95,19.86,19.861,22.086,22.086,542.634,0,0,0,116,1533,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
10.245198,0.232,0.234,0.002,0.003,25.677,19,17,0,3941746.5,70,71,70,70,94,94,95,95,19.847,19.847,22.073,22.073,581.029,0,0,0,116,1533,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
11.246422,0.284,0.274,0.043,0.051,25.674,19,17,0,3998241.5,71,71,71,71,94,94,95,95,19.842,19.841,22.076,22.076,640.372,0,0,0,184,1467,13,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
11.749556,0.292,0.282,0.046,0.054,25.673,19,17,0,4000000,69,69,69,69,94,94,95,95,19.843,19.843,22.08,22.08,660.58,0,0,0,184,1467,15,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
12.2448435,0.297,0.287,0.048,0.056,25.673,19,17,0,4000000,68,68,68,68,94,94,95,95,19.845,19.844,22.084,22.084,676.581,0,0,0,184,1467,15,1,0,0,0,29,23,14,0,13,9,FALSE,0,FALSE
