Timestamp,tyre_wear_rear_left,tyre_wear_rear_right,tyre_wear_front_left,tyre_wear_front_right,fuel_in_tank,actual_tyre_compound,visual_tyre_compound,tyres_age_laps,ers_store_energy,tyre_surface_temp_rear_left,tyre_surface_temp_rear_right,tyre_surface_temp_front_left,tyre_surface_temp_front_right,tyre_inner_temp_rear_left,tyre_inner_temp_rear_right,tyre_inner_temp_front_left,tyre_inner_temp_front_right,tyre_pressure_rear_left,tyre_pressure_rear_right,tyre_pressure_front_left,tyre_pressure_front_right,lap_distance,last_lap_ms,sector_1_ms,sector_2_ms,delta_in_front_ms,delta_leader_ms,car_position,current_lap,num_pit_stops,pit_timer_active,pit_timer_ms,track_temp,air_temp,total_laps,pit_rejoin_position,starting_position,finishing_position,dnf,penalties_time,fastest_lap
0,0,0,0,0,25.868,20,18,0,4000000,60,60,61,61,100,100,101,101,20.032,20.032,22.288,22.288,235.959,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
0.4897295,0.028,0.028,0,0,25.865,20,18,0,4000000,79,79,61,61,99,99,101,101,20.013,20.013,22.271,22.271,236.18,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
0.9849725,0.075,0.075,0,0,25.862,20,18,0,4000000,101,102,61,61,99,99,100,100,20.008,20.008,22.253,22.253,238.186,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
1.4814061,0.097,0.098,0,0,25.859,20,18,0,4000000,101,102,62,62,99,99,100,100,20.009,20.009,22.237,22.237,242.153,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
1.985196,0.106,0.11,0,0,25.853,20,18,0,4000000,92,93,63,63,99,99,100,100,20.005,20.006,22.219,22.219,248.747,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
2.483219,0.138,0.143,0,0,25.846,20,18,0,4000000,96,98,64,64,99,99,100,100,20.001,20.003,22.203,22.203,257.535,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
2.9839602,0.173,0.18,0,0,25.838,20,18,0,4000000,98,99,65,65,99,99,99,99,19.999,20.001,22.187,22.188,268.695,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
3.4869769,0.199,0.205,0,0,25.829,20,18,0,3999985.5,90,90,66,66,99,99,99,99,19.996,19.998,22.172,22.173,282.407,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
3.984315,0.236,0.244,0,0,25.818,20,18,0,3999786.2,90,90,67,67,99,99,99,99,19.99,19.993,22.158,22.158,298.709,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
4.4862113,0.274,0.28,0.001,0,25.805,20,18,0,3989670.8,90,89,67,68,99,99,99,99,19.983,19.986,22.144,22.144,317.895,0,0,0,0,0,2,1,0,0,0,27,22,14,20,2,1,False,0,True
4.9824495,0.297,0.303,0.001,0.001,25.793,20,18,0,3970945,80,79,69,68,98,98,98,98,19.975,19.977,22.13,22.13,339.889,0,0,0,283,283,2,1,0,0,0,27,22,14,20,2,1,False,0,True
5.484864,0.313,0.318,0.001,0.001,25.779,20,18,0,3936524,75,75,69,69,98,98,98,98,19.963,19.965,22.116,22.117,364.912,0,0,0,283,283,2,1,0,0,0,27,22,14,20,2,1,False,0,True
5.982107,0.325,0.331,0.001,0.001,25.766,20,18,0,3899915.5,73,73,69,69,98,98,98,98,19.95,19.952,22.103,22.104,392.458,0,0,0,84,84,2,1,0,0,0,27,22,14,20,2,1,False,0,True
6.4852166,0.336,0.341,0.001,0.001,25.753,20,18,0,3855805.8,72,72,69,69,98,98,98,98,19.936,19.938,22.09,22.091,422.394,0,0,0,84,84,2,1,0,0,0,27,22,14,20,2,1,False,0,True
6.9864597,0.346,0.351,0.001,0.001,25.74,20,18,0,3800337.2,72,72,70,70,97,97,97,97,19.922,19.924,22.078,22.078,454.238,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
7.482965,0.355,0.361,0.001,0.001,25.726,20,18,0,3742722.2,72,72,70,70,97,97,97,97,19.908,19.91,22.065,22.065,487.994,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
7.9856095,0.363,0.369,0.001,0.001,25.713,20,18,0,3690724.5,72,72,70,70,97,97,97,97,19.894,19.896,22.053,22.053,523.417,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
8.484686,0.371,0.377,0.001,0.001,25.699,20,18,0,3652699.5,72,72,70,70,97,97,97,97,19.881,19.883,22.04,22.041,560.067,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
8.989118,0.377,0.383,0.001,0.001,25.685,20,18,0,3644059.5,72,72,71,70,96,96,97,97,19.867,19.869,22.028,22.028,597.717,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
9.486605,0.39,0.395,0.015,0.016,25.676,20,18,0,3655390.5,73,74,75,75,96,96,96,96,19.855,19.858,22.019,22.019,635.003,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
9.983166,0.414,0.418,0.044,0.046,25.675,20,18,0,3683874.2,75,75,78,78,96,96,96,96,19.852,19.855,22.022,22.022,664.446,0,0,0,65503,65503,2,1,0,0,0,27,22,14,20,2,1,False,0,True
10.484615,0.426,0.43,0.05,0.052,25.674,20,18,0,3707188,72,72,73,73,96,96,97,97,19.853,19.856,22.028,22.027,686.61,0,0,0,65503,65503,2,1,0,0,0,27,22,14,20,2,1,False,0,True
10.982894,0.43,0.433,0.052,0.054,25.674,20,18,0,3727460.2,70,69,71,70,96,96,97,97,19.854,19.857,22.032,22.032,704.376,0,0,0,16,16,2,1,0,0,0,27,22,14,20,2,1,False,0,True
11.484148,0.437,0.439,0.062,0.063,25.674,20,18,0,3743839,71,69,74,72,96,96,97,97,19.856,19.857,22.036,22.036,718.555,0,0,0,16,16,2,1,0,0,0,27,22,14,20,2,1,False,0,True
11.98718,0.447,0.446,0.081,0.078,25.674,20,18,0,3756082.2,74,71,80,76,96,96,97,97,19.858,19.859,22.043,22.041,729.792,0,0,0,16,16,2,1,0,0,0,27,22,14,20,2,1,False,0,True
12.483998,0.455,0.452,0.099,0.088,25.674,20,18,0,3762409.5,75,72,86,77,96,96,97,97,19.862,19.861,22.05,22.046,750.162,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
12.986669,0.472,0.468,0.118,0.104,25.671,20,18,0,3766929.8,82,80,89,82,96,96,97,97,19.866,19.863,22.059,22.051,762.362,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
13.489469,0.513,0.504,0.126,0.109,25.667,20,18,0,3772297.2,96,91,83,78,97,97,97,97,19.876,19.872,22.069,22.058,771.244,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
13.989789,0.542,0.527,0.132,0.114,25.662,20,18,0,3777670.5,94,89,79,75,97,97,97,97,19.891,19.883,22.077,22.064,781.298,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
14.486619,0.547,0.535,0.132,0.115,25.655,20,18,0,3779377,82,81,73,71,97,97,97,97,19.9,19.891,22.081,22.067,793.244,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
14.987931,0.561,0.551,0.132,0.115,25.645,20,18,0,3780612,79,80,70,69,97,97,98,97,19.905,19.896,22.084,22.069,807.919,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
15.4873705,0.575,0.567,0.138,0.122,25.637,20,18,0,3790734,76,77,70,73,97,97,98,97,19.91,19.901,22.085,22.071,825.137,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
15.989995,0.588,0.582,0.151,0.137,25.629,20,18,0,3797105.5,75,78,73,76,97,97,98,97,19.912,19.904,22.087,22.074,848.06,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
16.48699,0.603,0.6,0.16,0.147,25.62,20,18,0,3803348.8,74,78,72,74,97,97,98,97,19.914,19.908,22.089,22.077,869.633,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
16.988447,0.62,0.618,0.168,0.155,25.608,20,18,0,3806454,75,78,72,73,97,97,98,97,19.915,19.911,22.09,22.079,890.558,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
17.489017,0.641,0.64,0.173,0.159,25.595,20,18,0,3802854.2,75,76,70,72,97,97,98,97,19.918,19.914,22.09,22.08,914.396,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
17.986664,0.657,0.66,0.175,0.161,25.582,20,18,0,3773884.2,76,75,70,71,97,97,98,97,19.919,19.915,22.089,22.08,941.303,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
18.48954,0.686,0.688,0.185,0.171,25.568,20,18,0,3729627.5,79,78,74,72,97,97,98,97,19.921,19.917,22.088,22.079,971.498,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
18.98527,0.711,0.71,0.196,0.181,25.555,20,18,0,3684433,75,74,73,71,97,97,98,97,19.923,19.918,22.088,22.078,1001.802,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
19.488558,0.723,0.72,0.197,0.183,25.542,20,18,0,3628457.2,73,72,70,70,97,97,98,97,19.923,19.917,22.086,22.075,1033.607,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
19.988245,0.736,0.731,0.199,0.186,25.528,20,18,0,3570842.2,73,72,71,70,97,97,97,97,19.922,19.916,22.083,22.073,1067.303,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
20.484314,0.746,0.74,0.2,0.186,25.515,20,18,0,3518706.5,72,72,70,70,97,97,97,97,19.92,19.914,22.08,22.069,1102.566,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
20.985212,0.755,0.749,0.2,0.186,25.501,20,18,0,3461091.5,72,72,70,70,97,97,97,97,19.918,19.912,22.076,22.065,1139.119,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
21.483965,0.765,0.757,0.2,0.187,25.488,20,18,0,3403476.5,73,72,70,70,97,97,97,97,19.915,19.909,22.072,22.061,1176.956,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
21.984592,0.773,0.765,0.2,0.187,25.474,20,18,0,3345861.5,72,72,71,70,97,97,97,97,19.912,19.906,22.067,22.056,1215.93,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
22.486746,0.78,0.773,0.2,0.187,25.46,20,18,0,3288246.5,72,73,71,71,97,97,97,97,19.909,19.903,22.062,22.051,1255.892,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
22.984625,0.787,0.78,0.2,0.187,25.447,20,18,0,3236124.5,72,72,71,71,97,97,97,97,19.906,19.9,22.056,22.045,1296.533,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
23.48582,0.793,0.787,0.2,0.187,25.433,20,18,0,3211159.5,72,72,71,71,97,97,97,97,19.902,19.896,22.05,22.04,1337.838,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
23.9846,0.798,0.794,0.201,0.187,25.42,20,18,0,3202519.5,72,73,71,71,97,97,97,97,19.898,19.893,22.044,22.033,1379.493,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
24.48675,0.808,0.804,0.212,0.196,25.408,20,18,0,3206598,73,74,75,74,97,97,97,97,19.894,19.889,22.039,22.028,1421.041,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
24.9852,0.836,0.824,0.251,0.229,25.406,20,18,0,3238942.5,75,73,79,77,97,97,97,97,19.896,19.89,22.043,22.032,1455.484,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
25.485855,0.848,0.846,0.288,0.239,25.406,20,18,0,3265999.8,73,72,77,73,97,97,97,97,19.9,19.895,22.052,22.038,1482.545,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
25.989073,0.869,0.862,0.312,0.26,25.406,20,18,0,3289239.2,77,74,81,77,97,97,97,97,19.905,19.899,22.059,22.044,1504.164,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
26.484327,0.892,0.879,0.354,0.293,25.406,20,18,0,3307637.8,80,75,90,83,97,97,97,97,19.913,19.905,22.07,22.052,1521.117,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
26.988564,0.912,0.892,0.39,0.325,25.403,20,18,0,3315764,81,74,92,85,97,97,97,97,19.921,19.91,22.082,22.063,1546.229,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
27.485842,0.928,0.904,0.415,0.343,25.398,20,18,0,3321924.2,78,74,88,81,98,97,98,97,19.929,19.915,22.094,22.072,1567.8,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
27.981096,0.943,0.917,0.435,0.358,25.393,20,18,0,3327931.8,78,74,85,78,98,97,98,97,19.936,19.92,22.103,22.078,1584.545,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
28.485592,0.964,0.934,0.451,0.371,25.385,20,18,0,3334390,80,76,80,75,98,98,98,98,19.943,19.925,22.111,22.084,1602.036,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
28.980562,0.978,0.947,0.456,0.375,25.375,20,18,0,3337018.8,76,74,74,71,98,98,98,98,19.948,19.929,22.116,22.087,1619.882,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
29.487635,0.995,0.964,0.461,0.381,25.362,20,18,0,3333361,77,76,73,70,98,98,98,98,19.953,19.933,22.118,22.089,1642.219,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
29.981272,1.024,0.989,0.463,0.383,25.349,20,18,0,3330205.2,80,79,72,69,98,98,98,98,19.959,19.938,22.12,22.09,1665.411,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
30.48527,1.044,1.008,0.463,0.383,25.336,20,18,0,3330990.5,75,74,68,69,98,98,98,98,19.963,19.942,22.12,22.09,1692.614,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
30.987427,1.054,1.02,0.467,0.386,25.322,20,18,0,3324296,73,74,70,71,98,98,98,98,19.965,19.945,22.119,22.09,1721.098,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
31.488182,1.065,1.034,0.471,0.39,25.309,20,18,0,3319446,72,73,70,71,98,98,98,98,19.966,19.947,22.118,22.09,1751.391,0,0,0,0,0,1,1,0,0,0,27,22,14,20,2,1,False,0,True
