Timestamp,tyre_wear_rear_left,tyre_wear_rear_right,tyre_wear_front_left,tyre_wear_front_right,fuel_in_tank,actual_tyre_compound,visual_tyre_compound,tyres_age_laps,ers_store_energy,tyre_surface_temp_rear_left,tyre_surface_temp_rear_right,tyre_surface_temp_front_left,tyre_surface_temp_front_right,tyre_inner_temp_rear_left,tyre_inner_temp_rear_right,tyre_inner_temp_front_left,tyre_inner_temp_front_right,tyre_pressure_rear_left,tyre_pressure_rear_right,tyre_pressure_front_left,tyre_pressure_front_right,lap_distance,last_lap_ms,sector_1_ms,sector_2_ms,delta_in_front_ms,delta_leader_ms,car_position,current_lap,num_pit_stops,pit_timer_active,pit_timer_ms,track_temp,air_temp,total_laps,pit_rejoin_position,starting_position,finishing_position,dnf,penalties_time,fastest_lap
0,0,0,0,0,25.273,20,18,0,4000000,61,61,62,62,100,100,101,101,20.07,20.07,22.32,22.32,155.889,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
0.32350138,0,0,0,0,25.271,20,18,0,4000000,60,60,62,62,100,100,101,101,20.053,20.053,22.306,22.306,155.889,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
0.8252436,0.049,0.049,0,0,25.268,20,18,0,4000000,91,91,61,61,100,100,101,101,20.039,20.039,22.288,22.288,156.661,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
1.3207693,0.09,0.09,0,0,25.265,20,18,0,4000000,106,106,62,62,100,100,101,101,20.038,20.038,22.271,22.271,159.383,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
1.8225795,0.131,0.13,0,0,25.259,20,18,0,4000000,113,113,63,62,100,100,100,100,20.041,20.041,22.254,22.254,164.509,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
2.3213112,0.182,0.181,0,0,25.252,20,18,0,4000000,119,119,63,63,100,100,100,100,20.048,20.047,22.238,22.238,171.485,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
2.8201966,0.228,0.228,0,0,25.245,20,18,0,4000000,116,116,64,64,100,100,100,100,20.055,20.055,22.222,22.222,180.999,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
3.3229208,0.253,0.252,0,0,25.236,20,18,0,4000000,100,100,66,65,100,100,100,100,20.059,20.059,22.206,22.206,193.332,0,0,0,0,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
3.8218803,0.267,0.266,0,0,25.227,20,18,0,4000000,86,86,66,66,100,100,99,99,20.054,20.053,22.191,22.191,207.482,0,0,0,1650,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
4.32415,0.304,0.304,0,0,25.214,20,18,0,3999925.5,90,90,67,67,100,100,99,99,20.045,20.045,22.176,22.176,225.431,0,0,0,1650,0,12,1,0,0,0,27,22,14,20,12,7,False,0,False
4.822127,0.348,0.348,0,0,25.202,20,18,0,3999428.2,87,87,67,67,100,100,99,99,20.04,20.039,22.162,22.162,244.881,0,0,0,1650,4083,12,1,0,0,0,27,22,14,20,12,7,False,0,False
5.322124,0.361,0.362,0,0,25.189,20,18,0,3995256.8,76,76,68,68,99,99,99,99,20.029,20.029,22.148,22.148,267.77,0,0,0,383,4083,12,1,0,0,0,27,22,14,20,12,7,False,0,False
5.825858,0.374,0.375,0,0,25.176,20,18,0,3972620.5,73,73,68,68,99,99,98,98,20.014,20.014,22.134,22.134,294.263,0,0,0,383,2550,12,1,0,0,0,27,22,14,20,12,7,False,0,False
6.3204756,0.386,0.387,0,0,25.163,20,18,0,3929862,72,72,69,69,99,99,98,98,20,20,22.121,22.121,321.515,0,0,0,300,2550,12,1,0,0,0,27,22,14,20,12,7,False,0,False
6.8258085,0.397,0.398,0,0,25.149,20,18,0,3882015,72,72,69,69,99,99,98,98,19.985,19.985,22.107,22.107,353.137,0,0,0,300,1700,12,1,0,0,0,27,22,14,20,12,7,False,0,False
