Timestamp,tyre_wear_rear_left,tyre_wear_rear_right,tyre_wear_front_left,tyre_wear_front_right,fuel_in_tank,actual_tyre_compound,visual_tyre_compound,tyres_age_laps,ers_store_energy,tyre_surface_temp_rear_left,tyre_surface_temp_rear_right,tyre_surface_temp_front_left,tyre_surface_temp_front_right,tyre_inner_temp_rear_left,tyre_inner_temp_rear_right,tyre_inner_temp_front_left,tyre_inner_temp_front_right,tyre_pressure_rear_left,tyre_pressure_rear_right,tyre_pressure_front_left,tyre_pressure_front_right,lap_distance,last_lap_ms,sector_1_ms,sector_2_ms,delta_in_front_ms,delta_leader_ms,car_position,current_lap,num_pit_stops,pit_timer_active,pit_timer_ms,track_temp,air_temp,total_laps,pit_rejoin_position,starting_position,finishing_position,dnf,penalties_time,fastest_lap
0,0,0,0,0,25.47,18,16,0,4000000,56,56,57,57,95,95,96,96,20.042,20.042,22.298,22.298,123.954,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
0.061628617,0,0,0,0,25.469,18,16,0,4000000,56,56,57,57,95,95,96,96,20.038,20.038,22.295,22.295,123.954,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
0.5607315,0.049,0.048,0,0,25.467,18,16,0,4000000,76,76,57,57,94,94,96,96,20.02,20.02,22.277,22.277,124.255,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
1.0618093,0.06,0.059,0,0,25.464,18,16,0,4000000,75,75,57,57,94,94,96,96,20.01,20.01,22.26,22.26,126.421,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
1.5613086,0.072,0.07,0,0,25.461,18,16,0,4000000,75,74,58,57,94,94,95,95,19.999,19.999,22.243,22.243,130.787,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
2.0624359,0.079,0.077,0,0,25.457,18,16,0,4000000,72,72,58,58,94,94,95,95,19.988,19.987,22.226,22.226,137.205,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
2.5631094,0.093,0.092,0,0,25.451,18,16,0,4000000,73,74,60,60,94,94,95,95,19.976,19.975,22.21,22.21,145.946,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
3.0593197,0.113,0.112,0,0,25.444,18,16,0,4000000,74,74,61,61,93,93,94,94,19.965,19.965,22.194,22.194,157.117,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
3.5646346,0.126,0.125,0,0,25.436,18,16,0,4000000,72,72,62,62,93,93,94,94,19.954,19.953,22.179,22.179,170.791,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
4.0613313,0.147,0.147,0,0,25.426,18,16,0,3999553.8,72,72,63,63,93,93,94,94,19.942,19.942,22.165,22.165,187.103,0,0,0,0,0,16,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
4.56172,0.158,0.158,0,0,25.416,18,16,0,3998154.2,69,69,63,63,93,93,94,94,19.93,19.929,22.151,22.151,205.848,0,0,0,0,0,15,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
5.0641394,0.175,0.175,0,0,25.404,18,16,0,3995116.2,70,69,64,64,92,92,93,93,19.917,19.916,22.137,22.137,227.151,0,0,0,583,0,15,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
5.559985,0.194,0.194,0,0,25.39,18,16,0,3990376.2,70,69,64,64,92,92,93,93,19.904,19.904,22.124,22.123,251.236,0,0,0,583,0,15,1,0,0,0,26,21,14,0,16,9,FALSE,0,FALSE
